Evenk_FarEast,0.001,0.001,0.001,0.074,0.001,7.997,5.9525,17.123,38.9155,27.289,2.6455
Finnish,0.181,76.148,9.73,0.001,0.001,0.001,0.001,0.001,1.559,6.037,6.3395
Forest_Nentsi,0.009148148,13.67074074,7.690074074,0.001,0.001,1.022074074,0.001,1.936888889,28.96411111,37.42666667,9.277222222
French,1.103115385,79.23026923,12.93869231,0.079961538,0.094538462,0.011461538,0.020461538,0.017076923,0.583423077,0.803423077,5.117461538
Gambian,91.8645,4.763,1.0035,0.5885,0.6015,0.052,0.092,0.001,0.001,0.0795,0.9535
Gelao,0.012555556,0.001,0.035666667,11.40388889,53.78033333,7.962222222,22.21866667,1.387333333,2.285222222,0.589333333,0.323333333
Georgian,2.7445,60.5465,33.595,0.026,0.001,0.001,0.001,0.001,0.789,0.2135,2.081
German,0.885272727,77.9325,14.05081818,0.118772727,0.018772727,0.121363636,0.001,0.042681818,0.341954545,1.636090909,4.851045455
Greek,1.971,74.189,18.932,0.001,0.001,0.001,0.001,0.001,0.001,1.398,3.504
Gurung,1.5264,0.6152,10.205,4.3238,0.0356,32.36,30.2782,3.9512,11.0854,4.2722,1.3468
Han_Chongqing,0.012333333,0.033333333,0.264,2.999,28.56,14.689,42.34,4.718333333,6.037333333,0.269333333,0.077666667
Han_EAST,0.001,0.001,0.001,0.899,9.471,14.537,63.898,5.6085,5.502,0.08,0.001
Han_Fujian,0.1992,0.1232,0.074,2.3304,29.9992,9.391,46.7006,6.4548,4.4238,0.226,0.0772
Han_Guangdong,0.046571429,0.028428571,0.001,4.722285714,40.80714286,7.128,40.00285714,4.569428571,1.510714286,1.150714286,0.032571429
Han_Guizhou,0.153428571,0.158428571,0.165357143,2.689285714,27.23142857,13.77957143,42.07635714,5.662,6.696071429,1.182571429,0.205357143
Han_Henan,0.1244,1.363,0.1112,0.466,7.5758,18.8924,47.5972,9.286,12.1738,1.8746,0.5356
Han_Hubei,0.0788,0.1228,0.0494,1.1146,22.9222,12.6732,49.4096,4.9238,7.8484,0.3944,0.4632
Han_Jiangsu,0.052142857,0.066428571,0.215285714,0.188714286,15.85157143,14.73014286,49.28342857,9.453857143,9.038,0.973428571,0.146857143
Han_NORTHWEST,0.167,0.596375,1.37925,0.432,3.07475,27.115125,47.484,4.323875,12.985625,1.808125,0.633875
Han_Shandong,0.1724,0.0866,0.3994,0.3419,8.9858,19.0809,47.8524,9.1741,11.2877,1.894,0.7246
Han_Shanghai,0.001,0.001,1.018,0.001,16.619,14.813,51.912,8.189,6.404,1.02,0.021
Han_Shanxi,0.130125,0.75675,1.159125,0.084875,6.558,19.50675,46.462875,8.80625,12.033125,3.708375,0.7945
Han_Sichuan,0.071285714,0.114428571,0.195571429,3.267571429,24.45371429,14.16685714,43.04742857,5.814,7.07,1.254857143,0.544428571
Han_SOUTHEAST,0.001,0.001,0.001,3.734,24.1985,2.8405,63.6165,1.1425,3.5845,0.88,0.001
